# LAMMPS data file written by OVITO Basic 3.7.5
4850 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 63.546  # Cu
2 1.00794  # H
3 12.0107  # C
4 15.9994  # O

Atoms  # charge

125 1 0.0 7.5156579 39.5145 20.6871579
126 1 0.0 20.6871579 26.343 20.6871579
127 1 0.0 20.6871579 39.5145 7.5156579
128 1 0.0 18.8273421 26.343 18.8273421
129 1 0.0 18.8273421 39.5145 5.6558421
130 1 0.0 5.6558421 26.343 5.6558421
131 1 0.0 5.6558421 39.5145 18.8273421
132 1 0.0 7.5156579 26.343 18.8273421
133 1 0.0 7.5156579 39.5145 5.6558421
134 1 0.0 20.6871579 39.5145 18.8273421
135 1 0.0 18.8273421 39.5145 20.6871579
136 1 0.0 5.6558421 26.343 20.6871579
137 1 0.0 5.6558421 39.5145 7.5156579
138 1 0.0 33.8586579 33.8586579 0.0
139 1 0.0 33.8586579 47.0301579 13.1715
140 1 0.0 47.0301579 33.8586579 13.1715
141 1 0.0 47.0301579 47.0301579 0.0
142 1 0.0 45.1703421 45.1703421 0.0
143 1 0.0 45.1703421 31.9988421 13.1715
144 1 0.0 31.9988421 45.1703421 13.1715
145 1 0.0 31.9988421 31.9988421 0.0
146 1 0.0 45.1703421 33.8586579 0.0
147 1 0.0 45.1703421 47.0301579 13.1715
148 1 0.0 31.9988421 33.8586579 13.1715
149 1 0.0 31.9988421 47.0301579 0.0
150 1 0.0 33.8586579 45.1703421 0.0
151 1 0.0 33.8586579 31.9988421 13.1715
152 1 0.0 47.0301579 45.1703421 13.1715
153 1 0.0 47.0301579 31.9988421 0.0
154 1 0.0 26.343 33.8586579 7.5156579
155 1 0.0 26.343 47.0301579 20.6871579
156 1 0.0 39.5145 33.8586579 20.6871579
157 1 0.0 39.5145 47.0301579 7.5156579
158 1 0.0 26.343 45.1703421 18.8273421
159 1 0.0 26.343 31.9988421 5.6558421
160 1 0.0 39.5145 45.1703421 5.6558421
161 1 0.0 39.5145 31.9988421 18.8273421
162 1 0.0 26.343 45.1703421 7.5156579
163 1 0.0 26.343 31.9988421 20.6871579
164 1 0.0 39.5145 45.1703421 20.6871579
165 1 0.0 39.5145 31.9988421 7.5156579
166 1 0.0 26.343 33.8586579 18.8273421
167 1 0.0 26.343 47.0301579 5.6558421
168 1 0.0 39.5145 33.8586579 5.6558421
169 1 0.0 39.5145 47.0301579 18.8273421
170 1 0.0 33.8586579 26.343 7.5156579
171 1 0.0 33.8586579 39.5145 20.6871579
172 1 0.0 47.0301579 26.343 20.6871579
173 1 0.0 45.1703421 26.343 18.8273421
174 1 0.0 31.9988421 26.343 5.6558421
175 1 0.0 31.9988421 39.5145 18.8273421
176 1 0.0 33.8586579 26.343 18.8273421
177 1 0.0 33.8586579 39.5145 5.6558421
178 1 0.0 47.0301579 26.343 5.6558421
179 1 0.0 47.0301579 39.5145 18.8273421
180 1 0.0 45.1703421 26.343 7.5156579
181 1 0.0 45.1703421 39.5145 20.6871579
182 1 0.0 31.9988421 26.343 20.6871579
