# LAMMPS data file written by OVITO Basic 3.7.5
4992 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 15.9994  # O
2 63.546  # Cu
3 12.0107  # C
4 1.00794  # H

Atoms  # charge

118 1 0.0 1.3751046 21.5116938 19.5754833
119 1 0.0 14.5466046 8.3401938 19.5754833
120 1 0.0 14.5466046 21.5116938 6.4039833
121 1 0.0 24.9678954 8.3401938 19.9390167
122 1 0.0 24.9678954 21.5116938 6.7675167
123 1 0.0 11.7963954 8.3401938 6.7675167
124 1 0.0 11.7963954 21.5116938 19.9390167
125 1 0.0 24.9678954 18.0028062 6.4039833
126 1 0.0 24.9678954 4.8313062 19.5754833
127 1 0.0 11.7963954 18.0028062 19.5754833
128 1 0.0 11.7963954 4.8313062 6.4039833
129 1 0.0 19.9390167 1.3751046 18.0028062
130 1 0.0 19.9390167 14.5466046 4.8313062
131 1 0.0 6.7675167 1.3751046 4.8313062
132 1 0.0 6.7675167 14.5466046 18.0028062
133 1 0.0 6.4039833 1.3751046 8.3401938
134 1 0.0 6.4039833 14.5466046 21.5116938
135 1 0.0 19.5754833 1.3751046 21.5116938
136 1 0.0 19.5754833 14.5466046 8.3401938
137 1 0.0 19.9390167 24.9678954 8.3401938
138 1 0.0 19.9390167 11.7963954 21.5116938
139 1 0.0 6.7675167 24.9678954 21.5116938
140 1 0.0 6.7675167 11.7963954 8.3401938
141 1 0.0 6.4039833 24.9678954 18.0028062
142 1 0.0 6.4039833 11.7963954 4.8313062
143 1 0.0 19.5754833 24.9678954 4.8313062
144 1 0.0 19.5754833 11.7963954 18.0028062
145 1 0.0 19.9390167 18.0028062 24.9678954
146 1 0.0 19.9390167 4.8313062 11.7963954
147 1 0.0 6.7675167 18.0028062 11.7963954
148 1 0.0 6.7675167 4.8313062 24.9678954
149 1 0.0 6.4039833 8.3401938 24.9678954
150 1 0.0 6.4039833 21.5116938 11.7963954
